cargo,dept,seats,url
diputado,Amazonas,2,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44001
diputado,Áncash,5,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44002
diputado,Apurímac,2,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44003
diputado,Arequipa,6,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44004
diputado,Ayacucho,3,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44005
diputado,Cajamarca,6,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44006
diputado,Callao,4,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44007
diputado,Cusco,5,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44008
diputado,Huancavelica,2,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44009
diputado,Huánuco,3,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44010
diputado,Ica,4,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44011
diputado,Junín,5,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44012
diputado,La Libertad,7,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44013
diputado,Lambayeque,5,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44014
diputado,Lima,32,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44015
diputado,Lima Provincias,4,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44016
diputado,Loreto,4,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44017
diputado,Madre de Dios,2,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44018
diputado,Moquegua,2,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44019
diputado,Pasco,2,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44020
diputado,Piura,7,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44021
diputado,Puno,5,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44022
diputado,San Martín,4,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44023
diputado,Tacna,2,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44024
diputado,Tumbes,2,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44025
diputado,Ucayali,3,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44026
diputado,PEX,2,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44027
senador,Amazonas,1,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44001
senador,Áncash,1,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44002
senador,Apurímac,1,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44003
senador,Arequipa,1,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44004
senador,Ayacucho,1,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44005
senador,Cajamarca,1,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44006
senador,Callao,1,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44007
senador,Cusco,1,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44008
senador,Huancavelica,1,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44009
senador,Huánuco,1,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44010
senador,Ica,1,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44011
senador,Junín,1,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44012
senador,La Libertad,1,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44013
senador,Lambayeque,1,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44014
senador,Lima,4,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44015
senador,Lima Provincias,1,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44016
senador,Loreto,1,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44017
senador,Madre de Dios,1,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44018
senador,Moquegua,1,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44019
senador,Nacional,30,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/GenRl
senador,Pasco,1,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44020
senador,Piura,1,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44021
senador,Puno,1,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44022
senador,San Martín,1,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44023
senador,Tacna,1,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44024
senador,Tumbes,1,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44025
senador,Ucayali,1,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44026
senador,PEX,1,https://resultadoshistorico.onpe.gob.pe/EG2021/EleccionesCongresales/ReCng/D44027